ID,CPUmodel,GPUmodel,TotCred,RAC
708820,AMD RYZEN 5 3600X 6-CORE PROCESSOR [FAMILY 23 MODEL 113 STEPPING 0],[CAL|RADEON RX 5500 XT|1|8176MB||200],7.333244352324e6,7866.819087
708836,INTEL(R) CORE(TM) I5-8250U CPU @ 1.60GHZ [FAMILY 6 MODEL 142 STEPPING 10],[CUDA|GEFORCE MX150|1|2048MB|38875|102][INTEL|INTEL(R) UHD GRAPHICS 620|1|1488MB||201],228592.082765,465.406861
708853,AMD RYZEN 7 5800X3D 8-CORE PROCESSOR [FAMILY 25 MODEL 33 STEPPING 2],[CUDA|NVIDIA GEFORCE GTX 1060 6GB|1|4095MB|53118|300],530331.850073,1.530281
708866,AMD RYZEN 9 5950X 16-CORE PROCESSOR [FAMILY 25 MODEL 33 STEPPING 0],[CAL|AMD RADEON RX 6800 XT|1|16368MB||200],1.746529769249e6,5008.259816
708869,INTEL(R) CORE(TM) I5-1035G1 CPU @ 1.00GHZ [FAMILY 6 MODEL 126 STEPPING 5],[INTEL|INTEL(R) UHD GRAPHICS|1|3153MB||300],17431.504883,2.681601
708920,AMD RYZEN THREADRIPPER 3970X 32-CORE PROCESSOR [FAMILY 23 MODEL 49 STEPPING 0],NONE,2.5308967703218e7,63962.768819
708934,INTEL(R) CORE(TM) I7-7700K CPU @ 4.20GHZ [FAMILY 6 MODEL 158 STEPPING 9],[CUDA|NVIDIA GEFORCE GTX 1070|1|8191MB|52802|300],307081.78552,368.54399
708947,INTEL(R) CORE(TM) I9-10850K CPU @ 3.60GHZ [FAMILY 6 MODEL 165 STEPPING 5],[CUDA|NVIDIA GEFORCE RTX 2060|1|12287MB|53141|300],195664.932049,748.264966
708948,APPLE M1,[OPENCL_GPU|APPLE M1|1|10922MB|102],249079.086021,903.969318
708952,INTEL(R) CORE(TM) I7-7700K CPU @ 4.20GHZ [FAMILY 6 MODEL 158 STEPPING 9],[CUDA|NVIDIA GEFORCE RTX 2060 SUPER|1|8191MB|52802|300],193630.951091,167.183498
708975,AMD RYZEN 9 5950X 16-CORE PROCESSOR [FAMILY 25 MODEL 33 STEPPING 0],[CAL|AMD RADEON RX 5700 XT|1|8176MB||200],1.184331202639e6,2176.513285
708984,INTEL(R) CORE(TM) I7-8700 CPU @ 3.20GHZ [FAMILY 6 MODEL 158 STEPPING 10],NONE,1.006144308256e6,765.154136
708996,INTEL(R) CORE(TM) I7-6700K CPU @ 4.00GHZ [FAMILY 6 MODEL 94 STEPPING 3],[CUDA|NVIDIA GEFORCE GTX 1080|1|4095MB|52737|300],582899.086755,900.12752
709047,AMD RYZEN 5 5600X 6-CORE PROCESSOR [FAMILY 25 MODEL 33 STEPPING 0],[CUDA|NVIDIA GEFORCE GTX 1070|1|4095MB|51694|300][CAL|AMD RADEON RX 6600|1|8176MB||200],794939.083028,4.596037
709048,INTEL(R) CORE(TM) I5-10400 CPU @ 2.90GHZ [FAMILY 6 MODEL 165 STEPPING 5],[CUDA|NVIDIA GEFORCE GT 730|1|2048MB|47298|300],30396.313128,94.902533
709059,AARCH64 PROCESSOR REV 1 (AARCH64) [IMPL 0X51 ARCH 8 VARIANT 0XA PART 0X801 REV 4],NONE,6390.789039,39.120357
709079,AMD RYZEN 5 3600 6-CORE PROCESSOR [FAMILY 23 MODEL 113 STEPPING 0],[CAL|RADEON RX 570 SERIES|1|8192MB||200],101231.158236,160.935337
709116,INTEL(R) CORE(TM) I7-10700 CPU @ 2.90GHZ [FAMILY 6 MODEL 165 STEPPING 5],[CUDA|NVIDIA GEFORCE RTX 2060|1|6143MB|53118|300],2479.774265,42.049089
709153,ARMV7 PROCESSOR REV 3 (V7L) [IMPL 0X41 ARCH 7 VARIANT 0X0 PART 0XD08 REV 3],NONE,176850.224716,310.285062
709162,AMD RYZEN 7 1800X EIGHT-CORE PROCESSOR [FAMILY 23 MODEL 1 STEPPING 1],NONE,2041.890716,18.190623
709171,INTEL(R) XEON(R) CPU X5482 @ 3.20GHZ [FAMILY 6 MODEL 23 STEPPING 10],[CUDA|TESLA C2050|1|3000MB|39014|101],3.827574085115e6,3131.900783
709174,AMD ATHLON 300U WITH RADEON VEGA MOBILE GFX [FAMILY 23 MODEL 24 STEPPING 1],[CAL|AMD RADEON(TM) VEGA 3 GRAPHICS|1|1249MB||200],36229.871225,6.958514
709176,INTEL(R) CORE(TM) I7-4610M CPU @ 3.00GHZ [FAMILY 6 MODEL 60 STEPPING 3],[CUDA|QUADRO K510M|1|1024MB|42525|102][INTEL|INTEL(R) HD GRAPHICS 4600|1|1629MB||102],60303.887316,12.900197
709188,INTEL(R) CORE(TM) I7-5650U CPU @ 2.20GHZ [X86 FAMILY 6 MODEL 61 STEPPING 4],[INTEL|INTEL(R) IRIS(TM) GRAPHICS 6100|1|1536MB||102],193.313193,5.182293
709206,INTEL(R) CORE(TM) I7-3615QM CPU @ 2.30GHZ [X86 FAMILY 6 MODEL 58 STEPPING 9],[INTEL|HD GRAPHICS 4000|1|1536MB||102],144553.076547,172.458386
709213,AMD RYZEN 5 4500U WITH RADEON GRAPHICS [FAMILY 23 MODEL 96 STEPPING 1],[CAL|AMD RADEON(TM) GRAPHICS|1|3169MB||200],113107.780371,208.335957
709226,INTEL(R) CORE(TM) I5-2430M CPU @ 2.40GHZ [FAMILY 6 MODEL 42 STEPPING 7],[CUDA|GEFORCE GT 555M|1|964MB|39015|101],22564.281138,7.03254
709234,AMD RYZEN 5 PRO 4650G WITH RADEON GRAPHICS [FAMILY 23 MODEL 96 STEPPING 1],[CUDA|GEFORCE GTX 1660 SUPER|2|4095MB|45671|102][CAL|AMD RADEON(TM) GRAPHICS|1|12380MB||200],146960.722782,305.045233
709241,INTEL(R) CORE(TM) I7-6700K CPU @ 4.00GHZ [FAMILY 6 MODEL 94 STEPPING 3],[CUDA|NVIDIA GEFORCE RTX 2080 TI|1|4095MB|51694|300],283355.213728,11.86772
709269,AMD RYZEN 7 4800H WITH RADEON GRAPHICS [FAMILY 23 MODEL 96 STEPPING 1],[CUDA|NVIDIA GEFORCE GTX 1660 TI|1|6143MB|51640|300][CAL|AMD RADEON(TM) GRAPHICS|1|6240MB||200],995445.846879,1674.235122
709275,INTEL(R) CORE(TM) I5-2500S CPU @ 2.70GHZ [X86 FAMILY 6 MODEL 42 STEPPING 7],[CAL|ATI RADEON HD 6770M|1|512MB||102],292418.917939,415.403413
709352,INTEL(R) XEON(R) CPU E3-1220 V3 @ 3.10GHZ [FAMILY 6 MODEL 60 STEPPING 3],[CUDA|NVIDIA GEFORCE GTX 960|1|2047MB|53161|300],114549.089601,95.950416
709360,INTEL(R) CORE(TM) I5 CPU M 560 @ 2.67GHZ [FAMILY 6 MODEL 37 STEPPING 5],NONE,19967.630351,80.330126
709380,APPLE M1,[OPENCL_GPU|APPLE M1|1|5461MB|102],867626.121019,4169.520192
709392,AARCH64 PROCESSOR REV 1 (AARCH64) [IMPL 0X51 ARCH 8 VARIANT 0XA PART 0X801 REV 4],NONE,2484.336038,40.535038
709424,INTEL(R) CORE(TM) I9-10900 CPU @ 2.80GHZ [FAMILY 6 MODEL 165 STEPPING 5],[CUDA|NVIDIA GEFORCE RTX 3070|1|4095MB|53141|300],1.470331683825e6,24.444807
709441,INTEL(R) CORE(TM) I5-3340M CPU @ 2.70GHZ [FAMILY 6 MODEL 58 STEPPING 9],NONE,324241.031675,508.150641
709447,INTEL(R) CORE(TM) I7-1065G7 CPU @ 1.30GHZ [FAMILY 6 MODEL 126 STEPPING 5],[INTEL|INTEL(R) IRIS(R) PLUS GRAPHICS|1|3152MB||201],536779.725534,556.006019
709461,INTEL(R) CORE(TM) I3-9100T CPU @ 3.10GHZ [FAMILY 6 MODEL 158 STEPPING 11],[CAL|AMD RADEON VII|1|16368MB||200],642401.439207,1.536309
709507,INTEL(R) PENTIUM(R) CPU B950 @ 2.10GHZ [FAMILY 6 MODEL 42 STEPPING 7],NONE,48978.223631,52.483257
709509,INTEL(R) XEON(R) CPU E5472 @ 3.00GHZ [FAMILY 6 MODEL 23 STEPPING 6],[CUDA|GEFORCE GTX 480|1|1469MB|39014|101],3.106867583508e6,3118.138866
709511,QUAD-CORE PROCESSOR (UP TO 1.4GHZ) [FAMILY 22 MODEL 0 STEPPING 1],[CAL|AMD RADEON HD 8250|1|1642MB||200],99585.831399,454.934254
709515,INTEL(R) CORE(TM) I7-8700 CPU @ 3.20GHZ [FAMILY 6 MODEL 158 STEPPING 10],[CUDA|NVIDIA GEFORCE GTX 1060 6GB|1|4095MB|52756|300],1.117786782911e6,1.923341
709525,AMD RYZEN 5 3600X 6-CORE PROCESSOR [FAMILY 23 MODEL 113 STEPPING 0],[CUDA|NVIDIA GEFORCE RTX 3070|1|4095MB|52589|300],60560.286141,242.750455
